ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
7671A992-BAC6-402B-A941-2E3AEDF2499D,AI AF Nikkor 50mm F1.8S,Nikon,Nikon F,50,50,1.8,22,450,
A00695DB-E8BE-4E17-BA63-99AA42F94540,AI Nikkor 50mm f/1.2S,Nikon,Nikon F,50,50,1.2,16,500,
D4A83133-340B-4483-BB7F-906037195605,AI Nikkor 50mm f/1.4S,Nikon,Nikon F,50,50,1.4,16,450,
4F6154B2-10C9-4466-8443-FF6347C2C8F7,AI Micro-Nikkor 55mm f/2.8S,Nikon,Nikon F,55,55,2.8,32,250,
8D69BF61-B74F-43C7-9551-D6E55021D61C,AF-S DX Nikkor 55-200mm f/4-5.6G ED VR II,Nikon,Nikon F,55,200,4,32,1000,
5DDB61D8-0C59-40F6-AEF6-89005D3C7BCB,AF-S DX VR Zoom-Nikkor 55-200mm f/4-5.6G IF-ED,Nikon,Nikon F,55,200,4,32,1100,
00ADE3B5-25C8-4D9C-A795-803B75CC2746,AF-S DX Zoom-Nikkor 55-200mm f/4-5.6G ED,Nikon,Nikon F,55,200,4,32,950,
44D17643-DCA1-4275-BEEC-A9026F9F7492,AF-S DX Nikkor 55-300mm f/4.5-5.6G ED VR,Nikon,Nikon F,55,300,4.5,29,1400,
98FC4E73-2912-4F49-81BE-E0C8371B0B5C,AF-S Nikkor 58mm f/1.4G,Nikon,Nikon F,58,58,1.4,16,580,
C9CCC271-4EEA-4D83-BBC6-08561233D22F,AF-S Micro Nikkor 60mm f/2.8G ED,Nikon,Nikon F,60,60,2.8,32,185,
FC0BC0B4-4105-4F2A-B666-9681DE097358,Ai AF Micro-Nikkor 60mm f/2.8D,Nikon,Nikon F,60,60,2.8,32,219,
73F5B518-C710-4B4F-AE79-CD9301BF86BA,AI AF Zoom Micro Nikkor ED 70-180mm F4.5-F5.6D,Nikon,Nikon F,70,180,4.5,32,370,
351E0586-8F32-49D0-B2B2-13B0F381EE10,AF-S Nikkor 70-200mm f/2.8G ED VR II,Nikon,Nikon F,70,200,2.8,22,1400,
96D5D358-170B-4F5E-BA2C-3E143D7D1574,AF-S Nikkor 70-200mm f/4G ED VR,Nikon,Nikon F,70,200,4,32,1000,
8C064C05-7EA4-4BA8-BDF5-9CD435717119,AF-S VR Zoom-Nikkor ED 70-200mm F2.8G (IF),Nikon,Nikon F,70,200,2.8,22,1400,
D227EEE1-B908-4B87-A88C-2464F4E2BBD3,AF Zoom-Nikkor 70-300mm f/4-5.6G,Nikon,Nikon F,70,300,4,32,1500,
FBB4D129-24A0-4188-849E-26465FD335C2,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED,Nikon,Nikon F,70,300,4.5,32,1100,
EF0E9BF0-0483-466D-AA93-D6C0593CC02D,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED VR,Nikon,Nikon F,70,300,4.5,32,1100,
8B406014-C8B3-4ACB-827F-774012B5906D,AF-S VR Zoom-Nikkor 70-300mm f/4.5-5.6G IF-ED,Nikon,Nikon F,70,300,4.5,40,1500,
7D9B41B2-B4DE-46FB-8EBB-8A1286CAC249,AI AF Zoom-Nikkor ED 70-300mm F4-5.6D,Nikon,Nikon F,70,300,4,32,1500,
76A1F0AE-CC33-4F6A-A0E3-2890A05A3632,AI AF Zoom-Nikkor 80-200mm f/2.8D ED,Nikon,Nikon F,80,200,2.8,22,1500,
4E0BCDD6-C7F6-42D2-A655-E9A512CF45A3,AI AF-S Zoom Nikkor ED 80-200mm F2.8D (IF),Nikon,Nikon F,80,200,2.8,22,1500,
135A50A4-5E2A-457E-AB5D-6F86B1AB4B61,AF-S Nikkor 80-400mm f/4.5-5.6G ED VR,Nikon,Nikon F,80,400,4.5,40,1500,
23CBCA79-EB01-4A5B-B182-44A6D269580D,AI AF VR Zoom-Nikkor 80-400mm f/4.5-5.6D ED,Nikon,Nikon F,80,400,4.5,32,2300,
9968C184-CB7D-4C96-9CFD-707E408A9AAF,AF-S DX Micro Nikkor 85mm f/3.5G ED VR,Nikon,Nikon F,85,85,3.5,32,286,
5CBE016B-957D-49C4-BA50-04384954C89C,AF-S Nikkor 85mm f/1.4G,Nikon,Nikon F,85,85,1.4,16,850,
D264A347-9FF1-47B1-859A-6E3AB0298776,AF-S Nikkor 85mm f/1.8G,Nikon,Nikon F,85,85,1.8,16,800,
0180049B-6731-474D-B260-F379AD4BA957,AI AF Nikkor 85mm f/1.4D IF,Nikon,Nikon F,85,85,1.4,16,850,
521605E9-5218-4EC3-B8A6-AFCF68EC8957,AI AF Nikkor 85mm f/1.8D,Nikon,Nikon F,85,85,1.8,16,850,
BE7D9682-3AB8-46DE-9A1D-47D258413406,AI Nikkor 85mm F1.4S,Nikon,Nikon F,85,85,1.4,16,850,
D2BDB9C8-9B66-4FD3-A72F-F0CE9F53EAEE,PC Micro-Nikkor 85mm f/2.8D,Nikon,Nikon F,85,85,2.8,45,390,
89F09466-944E-4730-BCEB-D4215FE75C64,AF-S Nikkor 105mm f/1.4E ED,Nikon,Nikon F,105,105,1.4,16,1000,
FB5FD9BB-052D-41F2-82D5-DA533083AF70,AF-S VR Micro-Nikkor 105mm f/2.8G IF-ED,Nikon,Nikon F,105,105,2.8,32,314,
D6CEBEB3-E088-4194-B277-0F6334C82731,Ai AF DC-Nikkor 105mm f/2D,Nikon,Nikon F,105,105,2,16,900,
C4297869-7D8B-457F-A4AE-DF1CC6052BC6,AI AF Micro Nikkor 105mm F2.8D,Nikon,Nikon F,105,105,2.8,32,314,
38726D02-7907-48DB-B6FC-D3200F504FDF,AI Micro-Nikkor 105mm f/2.8S,Nikon,Nikon F,105,105,2.8,32,410,
8C070B16-2DE9-457D-B5F4-55631D60B60D,AI Nikkor 105mm F1.8S,Nikon,Nikon F,105,105,1.8,22,1000,
AD13AF62-FA77-4BB1-87C2-30CC63C88F61,AI Nikkor 105mm F2.5S,Nikon,Nikon F,105,105,2.5,22,1000,
3E99B4F9-6544-436E-B2D1-720C0A9DE15D,Ai AF DC-Nikkor 135mm f/2D,Nikon,Nikon F,135,135,2,16,1100,
492B105F-9635-4BFA-B0BA-B90164A9DF59,AI Nikkor 135mm F2.8S,Nikon,Nikon F,135,135,2.8,32,1300,
F3D3AEC5-E267-4ADD-A8CF-ABC2463AFBA1,AI Nikkor 135mm F2S,Nikon,Nikon F,135,135,2,22,1300,
71B7A373-2F36-4FD6-B77B-03329B48E80A,Ai AF Nikkor 180mm f/2.8D IF-ED,Nikon,Nikon F,180,180,2.8,22,1500,
2D5390E5-4BF0-42D3-A207-33A089EA4330,AI Nikkor ED 180mm F2.8S,Nikon,Nikon F,180,180,2.8,32,1800,
228963FE-8016-4FE2-81E5-2DEF4198ED94,AF-S Nikkor 200mm f/2G ED VR II,Nikon,Nikon F,200,200,2,22,1900,
15CA5AD3-D85F-43E0-8F01-E474425692CD,AF-S VR Nikkor 200mm f/2G IF-ED,Nikon,Nikon F,200,200,2,22,1900,
FFC98391-D2F7-4484-BFA0-D1A443990262,Ai AF Micro-Nikkor 200mm f/4D IF-ED,Nikon,Nikon F,200,200,4,32,500,
AEA8127B-865B-4522-B796-0DF832237FB3,AI Micro Nikkor 200mm F4S (IF),Nikon,Nikon F,200,200,4,32,710,
45995A6A-BD3D-41E1-804E-E2B3895D73FB,AF-S Nikkor 200-400mm f/4G ED VR II,Nikon,Nikon F,200,400,4,32,1950,
998DCD9D-0274-427C-B847-3F8534AFAD8C,AF-S VR Zoom-Nikkor 200-400mm f/4G IF-ED,Nikon,Nikon F,200,400,4,32,2000,
320E1AB4-54B4-4FA9-906E-09358B050B96,AF-S Nikkor 200-500mm f/5.6E ED VR,Nikon,Nikon F,200,500,5.6,32,2200,
3E9A2A1C-97C2-46EA-AAAF-45F439B902C3,AF-S Nikkor 300mm f/2.8G ED VR II,Nikon,Nikon F,300,300,2.8,22,2200,
C39DA290-7A7C-441D-B747-97DB1C5E2D7E,AF-S Nikkor 300mm f/4E PF ED VR,Nikon,Nikon F,300,300,4,32,1400,
8C36F1A0-5C72-4D5E-B77E-BD628541684F,AF-S VR Nikkor 300mm f/2.8G IF-ED,Nikon,Nikon F,300,300,2.8,22,2200,
254CA28A-71E1-4F90-94B0-75D3664AB492,Ai AF-S Nikkor 300mm f/4D IF-ED,Nikon,Nikon F,300,300,4,32,1450,
D9A98995-4F0A-4593-93EA-04FF0704D7CA,AI AF-S Nikkor ED 300mm F2.8D (IF),Nikon,Nikon F,300,300,2.8,22,2500,
70FC59BC-0146-42D2-A836-0549FE6806F7,AI AF-S Nikkor ED 300mm F2.8D II (IF),Nikon,Nikon F,300,300,2.8,22,2200,
2B56D108-2618-4AE5-9585-EFD41EA224DA,AF-S Nikkor 400mm f/2.8E FL ED VR,Nikon,Nikon F,400,400,2.8,22,2600,
8C94F233-73BD-47F0-9301-7506A86F65B0,AF-S Nikkor 400mm f/2.8G ED VR,Nikon,Nikon F,400,400,2.8,22,2800,
1D7D2415-331A-48E4-BEB2-7F88737E1FB5,AI AF-S Nikkor ED 400mm F2.8D (lF),Nikon,Nikon F,400,400,2.8,22,3800,
011E01BD-C1BF-4F57-B00C-CF308CBF1E34,AI AF-S Nikkor ED 400mm F2.8D II (IF),Nikon,Nikon F,400,400,2.8,22,3400,
35FAA9A2-9D8D-4EBB-8F86-6B98AEB8889D,AI Nikkor ED 400mm F2.8S (IF),Nikon,Nikon F,400,400,2.8,22,4000,
4AFD793E-42BC-4BF9-8BFB-A7B3CB9466B1,AI Nikkor ED 400mm F3.5S (IF),Nikon,Nikon F,400,400,3.5,22,4500,
E6B6CC9F-7330-48B6-8F68-520C435F2FE9,AI Nikkor ED 400mm F5.6S (IF),Nikon,Nikon F,400,400,5.6,32,4000,
B7C3C29C-24BC-45F4-8433-EC902E32DFCF,AF-S Nikkor 500mm f/4E FL ED VR,Nikon,Nikon F,500,500,4,22,3600,
F142FBEE-4C09-48D7-B9DF-E43F6FA6F38A,AF-S Nikkor 500mm f/4G ED VR,Nikon,Nikon F,500,500,4,22,3850,
49B035E3-B818-430D-A2A3-6F1C62F924ED,AI AF-S Nikkor ED 500mm F4D (lF),Nikon,Nikon F,500,500,4,22,5000,
A3A90C44-6861-4B84-A6CD-FC7D8F5C82EF,AI AF-S Nikkor ED 500mm F4D II (IF),Nikon,Nikon F,500,500,4,22,4400,
9BCAD507-0668-42C9-B5A9-731C2DDEDA34,Reflex Nikkor 500mm F8,Nikon,Nikon F,500,500,8,8,1500,
72EFDCE6-C77D-48E8-8AD2-6F9CB99AFB9B,AF-S Nikkor 600mm f/4E FL ED VR,Nikon,Nikon F,600,600,4,22,4400,
6BE22173-A72B-4ECC-A9B8-DE27DD0317D1,AF-S Nikkor 600mm f/4G ED VR,Nikon,Nikon F,600,600,4,22,4800,
DAAF8E31-7264-428A-A7AE-C370BC4AB9F0,AI AF-S Nikkor ED 600mm F4D II (IF),Nikon,Nikon F,600,600,4,22,5400,
6BF7B192-CAE8-4DF1-A826-2D54914B8BC3,AI Nikkor ED 600mm F5.6S (IF),Nikon,Nikon F,600,600,5.6,32,5000,
9FE9C8C6-37EE-4D52-B154-9CA4C439B10A,AF-S Nikkor 800mm f/5.6E FL ED VR,Nikon,Nikon F,800,800,5.6,32,5900,
6894EAE0-5A7D-418A-802D-88781D9DD70D,AI Nikkor ED 800mm F5.6S (IF),Nikon,Nikon F,800,800,5.6,32,8000,
0AE37BAD-AFCB-4123-A8FF-47CF3DA8B581,Reflex Nikkor 1000mm F11,Nikon,Nikon F,1000,1000,11,11,8000,
B83A9F55-538C-4251-A9EA-5DB15FAF709B,Nikkor Z 14-30mm f/4 S,Nikon,Nikon Z,14,30,4,22,280,
E9CD1326-154E-4103-8969-3D2A3B2780E8,Nikkor Z DX 16-50mm f/3.5-6.3 VR,Nikon,Nikon Z,16,50,3.5,40,200,
1FFE1989-74B4-41E4-BACC-51324BADFEFE,Nikkor Z 20mm f/1.8 S,Nikon,Nikon Z,20,20,1.8,16,200,
C09E7BFC-BC3D-41A9-9288-5E91525E67B4,Nikkor Z 24mm f/1.8 S,Nikon,Nikon Z,24,24,1.8,16,250,
5E86CEC0-DF29-4A76-A634-035E0B52725D,Nikkor Z 24-50mm f/4-6.3,Nikon,Nikon Z,24,50,4,36,350,
232393CE-53DE-4DDF-99E4-773A8DF0DA2E,Nikkor Z 24-70mm f/2.8 S,Nikon,Nikon Z,24,70,2.8,22,380,
512D01CE-D9B3-4BB5-883C-E4F56DE5F9DB,Nikkor Z 24-70mm f/4 S,Nikon,Nikon Z,24,70,4,22,300,
F37B7490-89BB-4FDB-9240-044CF0C2CA78,Nikkor Z 24-200mm f/4-6.3 VR,Nikon,Nikon Z,24,200,4,36,500,
FD3EFD75-4649-40C5-A914-B57399A48BAE,Nikkor Z 35mm f/1.8 S,Nikon,Nikon Z,35,35,1.8,16,250,
78691340-CD35-4045-B787-69E5805D268F,Nikkor Z 50mm f/1.8 S,Nikon,Nikon Z,50,50,1.8,16,400,
C163D6A7-CB5B-4724-9280-E217214528AE,Nikkor Z DX 50-250mm f/4.5-6.3 VR,Nikon,Nikon Z,50,250,4.5,32,500,
B7CF8BE6-EFA9-45BF-9FE5-34F36B25570E,Nikkor Z 58mm f/0.95 S Noct,Nikon,Nikon Z,58,58,0.95,16,500,
A7D22A94-B88F-4EE5-A3C5-F9DE76F44C41,Nikkor Z 70-200mm f/2.8 VR S,Nikon,Nikon Z,70,200,2.8,22,500,
0F1148CE-2DA9-4B50-A291-2A9483AFD88D,Nikkor Z 85mm f/1.8 S,Nikon,Nikon Z,85,85,1.8,16,800,
519CDCDA-1332-4060-B4ED-CDAB028DF330,Zuiko Digital ED 7-14mm F4.0,Olympus,Four Thirds,7,14,4,22,250,
B8BE752D-33B5-4F23-97E7-3D7423B8D371,Zuiko Digital ED 8mm F3.5 Fisheye,Olympus,Four Thirds,8,8,3.5,22,135,
ECEAE28B-29CF-483F-AAD4-6B29318D48C1,Zuiko Digital ED 9-18mm F4.0-5.6,Olympus,Four Thirds,9,18,4,22,250,
F0A2356E-82ED-421F-B3EF-26D84D1D66EA,Zuiko Digital 11-22mm F2.8-3.5,Olympus,Four Thirds,11,22,2.8,22,280,
3A479351-C583-4E5F-8805-714401B18B81,Zuiko Digital ED 12-60mm F2.8-4.0 SWD,Olympus,Four Thirds,12,60,2.8,22,250,
2EDE760E-360D-4E97-AF63-AF0DC2EC242E,Zuiko Digital ED 14-35mm F2.0 SWD,Olympus,Four Thirds,14,35,2,22,350,
7D41EDCF-B917-4CAC-A9C1-F7F2B6867ACC,Zuiko Digital ED 14-42mm F3.5-5.6,Olympus,Four Thirds,14,42,3.5,22,250,
4098BD28-C41D-43F8-B11E-60B05EDB2FCB,Zuiko Digital 14-54mm F2.8-3.5 II,Olympus,Four Thirds,14,54,2.8,22,220,
D5754679-6948-4FF8-B431-88382A2DAF6F,Zuiko Digital ED 18-180mm F3.5-6.3,Olympus,Four Thirds,18,180,3.5,22,450,
DB224C1D-1D30-4746-9210-93FC55459CD9,Zuiko Digital 25mm F2.8,Olympus,Four Thirds,25,25,2.8,22,200,
473F4B9E-7DDE-4772-BF57-625EABC77B10,Zuiko Digital 35mm F3.5 Macro,Olympus,Four Thirds,35,35,3.5,22,146,
9ED00AD1-15CD-45A9-A513-6BFFDBBA44A6,Zuiko Digital ED 35-100mm F2.0,Olympus,Four Thirds,35,100,2,22,140,
0C4C52CC-4C99-44FC-8FE6-0A4543EDCAA8,Zuiko Digital ED 40-150mm F4.0-5.6,Olympus,Four Thirds,40,150,4,22,900,
58E05887-0B73-4645-B637-32F331AD6DB5,Zuiko Digital 50mm F2.0 Macro,Olympus,Four Thirds,50,50,2,22,240,
9AF0A448-8EB1-4C99-810A-4D7CDBBE7705,Zuiko Digital ED 50-200mm F2.8-3.5 SWD,Olympus,Four Thirds,50,200,2.8,22,1200,
A67705BE-4F60-45CE-B455-7C49D7E53B7F,Zuiko Digital ED 70-300mm F4.0-5.6,Olympus,Four Thirds,70,300,4,22,960,
5B851151-7B23-4966-A081-1E8A1D75E96D,Zuiko Digital ED 90-250mm F2.8,Olympus,Four Thirds,90,250,2.8,22,2500,
E4969408-307F-4CA6-ABCC-679666A9006E,Zuiko Digital ED 150mm F2.0,Olympus,Four Thirds,150,150,2,22,1400,
C644B47E-9ADA-4F93-BDF2-FC855852237B,Zuiko Digital ED 300mm F2.8,Olympus,Four Thirds,300,300,2.8,22,2400,
0FFBC866-4BDB-4A9F-A88A-6F7DC0A2C55C,M.Zuiko Digital ED 7-14mm F2.8 PRO,Olympus,MFT,7,14,2.8,22,200,
CBF1F455-FAE4-4795-A971-946E484FF1D9,M.Zuiko Digital ED 8mm F1.8 Fisheye PRO,Olympus,MFT,8,8,1.8,22,120,
4267A5BB-BE8A-427E-9261-B23C7BD65361,BCL-0980 (9mm F8.0 Fisheye),Olympus,MFT,9,9,8,8,200,
646B0E09-6900-49B1-89DD-03807ABD830D,M.Zuiko Digital ED 9-18mm F4.0-5.6,Olympus,MFT,9,18,4,22,250,
1F2855C6-DF22-4001-8998-2EEAB050CC8E,M.Zuiko Digital ED 12mm F2.0,Olympus,MFT,12,12,2,22,200,
FFEAD32F-67E0-4605-B425-887A29723FF5,M.Zuiko Digital ED 12-40mm F2.8 PRO,Olympus,MFT,12,40,2.8,22,200,
CCFFE370-948D-4FF8-AC68-F4B291BCC131,M.Zuiko Digital ED 12-45mm F4.0 PRO,Olympus,MFT,12,45,4,22,120,
FB60226A-2C11-46E6-BDCE-95AF971ABF99,M.Zuiko Digital ED 12-50mm F3.5-6.3 EZ,Olympus,MFT,12,50,3.5,22,200,
E0DDC828-5B16-4EB4-830C-3E276607B402,M.Zuiko Digital ED 12-100mm F4.0 IS PRO,Olympus,MFT,12,100,4,22,150,
EF281128-8A4E-4313-AF05-CA83FA6A49B5,M.Zuiko Digital ED 12-200mm F3.5-6.3,Olympus,MFT,12,200,3.5,22,220,
C681A9BD-AF13-4E2C-9B09-321D3F26715A,M.Zuiko Digital 14-42mm F3.5-5.6 II,Olympus,MFT,14,42,3.5,22,250,
B12A1BEF-D3A7-4265-AF02-5CCE6EC846E9,M.Zuiko Digital 14-42mm F3.5-5.6 II R,Olympus,MFT,14,42,3.5,22,250,
C3F0727D-6961-4626-AC30-D42F22E11664,M.Zuiko Digital ED 14-42mm F3.5-5.6,Olympus,MFT,14,42,3.5,22,250,
898F5235-80CE-4E06-AF41-199E9B5DEC44,M.Zuiko Digital ED 14-42mm F3.5-5.6 EZ,Olympus,MFT,14,42,3.5,22,200,
90D50805-2C18-46BF-806F-DC5452A68516,M.Zuiko Digital ED 14-150mm F4.0-5.6,Olympus,MFT,14,150,4,22,500,
CF5D4B2F-7C72-4C4B-84DF-32C2CBF840E9,M.Zuiko Digital ED 14-150mm F4.0-5.6 II,Olympus,MFT,14,150,4,22,500,
063B8348-2A8F-4C52-871A-25EB8227D047,BCL-1580 (15mm F8),Olympus,MFT,15,15,8,8,300,
D015978B-C214-460E-ADFB-CE419203D8E9,M.Zuiko Digital 17mm F1.8,Olympus,MFT,17,17,1.8,22,250,
8E7064E4-9E2F-43E6-96BA-326FC00768E4,M.Zuiko Digital 17mm F2.8,Olympus,MFT,17,17,2.8,22,200,
7BAAE150-ACD7-411A-A55E-4A5F7C360223,M.Zuiko Digital ED 17mm F1.2 PRO,Olympus,MFT,17,17,1.2,16,200,
71044633-8CB6-4F3C-BD26-A69C1CCC3CC9,M.Zuiko Digital 25mm F1.8,Olympus,MFT,25,25,1.8,22,250,
AB88F4B7-302F-4103-8516-DDEA4A8A8B8E,M.Zuiko Digital ED 25mm F1.2 PRO,Olympus,MFT,25,25,1.2,16,300,
EB0C426A-2B24-460A-B70A-09BDE104AF9E,M.Zuiko Digital ED 30mm F3.5 Macro,Olympus,MFT,30,30,3.5,22,95,
0A9A1094-E9F4-456D-A73E-35E4D1D2F21A,M.Zuiko Digital ED 40-150mm F2.8 PRO,Olympus,MFT,40,150,2.8,22,700,
4A48F385-80AE-47E8-9D33-8D34CE796C2E,M.Zuiko Digital ED 40-150mm F4.0-5.6 R,Olympus,MFT,40,150,4,22,900,
076737E0-C33D-41AE-9981-1990E2B39A11,M.Zuiko Digital 45mm F1.8,Olympus,MFT,45,45,1.8,22,500,
038475A4-C9E1-43D4-92B5-2C4FD13CF507,M.Zuiko Digital ED 45mm F1.2 PRO,Olympus,MFT,45,45,1.2,16,500,
FEF1260A-E55C-4638-8319-4162C3A2A242,M.Zuiko Digital ED 60mm F2.8 Macro,Olympus,MFT,60,60,2.8,22,190,
C57F91B8-F595-4634-88AD-0D43B941B969,M.Zuiko Digital ED 75mm F1.8,Olympus,MFT,75,75,1.8,22,840,
540A5AD8-099B-4BD7-BE03-A28A769F4FF3,M.Zuiko Digital ED 75-300mm F4.8-6.7,Olympus,MFT,75,300,4.8,22,900,
C96A0F97-3B88-4479-8AFD-92C2C6C54315,M.Zuiko Digital ED 75-300mm F4.8-6.7 II,Olympus,MFT,75,300,4.8,22,900,
75B6CE0B-5D35-4516-82E3-E2F5EDF6E250,M.Zuiko Digital ED 100-400mm F5.0-6.3 IS,Olympus,MFT,100,400,5,22,1300,
B7CC9520-0C9E-4363-86B9-0ACEC2BC20D4,M.Zuiko Digital ED 300mm F4.0 IS PRO,Olympus,MFT,300,300,4,22,1400,
2959E435-4F3A-40BD-A017-D0D3E41EC10A,Leica D Vario-Elmar 14-50mm / F3.8-5.6 Asph. / Mega O.I.S.,Panasonic,Four Thirds,14,50,3.8,22,290,L-RS014050
72E9816E-EBBA-44D5-A9F5-A1E82F81CBC6,Leica D Vario-Elmarit 14-50mm / F2.8-3.5 Asph. / Mega O.I.S.,Panasonic,Four Thirds,14,50,2.8,22,290,L-ES014050
CBFC6F51-3475-4453-A2D1-74F57D80869C,Leica D Vario-Elmar 14-150mm / F3.5-5.6 Asph. / Mega O.I.S.,Panasonic,Four Thirds,14,150,3.5,22,500,L-RS014150
AB15E9EA-AD15-44BE-A90D-5F7B5A74C98A,Leica D Summilux 25mm / F1.4 Asph.,Panasonic,Four Thirds,25,25,1.4,16,380,L-X025
B4B39B32-F6C0-4585-AD36-710F8A720CB1,Lumix S Pro 24-70mm F2.8,Panasonic,Leica L,24,70,2.8,22,370,S-E2470
8C7ED2F5-EEEF-4EF2-A7DE-F1E32737BEE6,Lumix S 24-105mm F4 Macro O.I.S.,Panasonic,Leica L,24,105,4,22,300,S-R24105
221123BB-55DF-4516-B978-B29ED3DD1876,Lumix S Pro 50mm F1.4,Panasonic,Leica L,50,50,1.4,16,440,S-X50
86C63557-E6E2-4680-AAD2-B7FEF903D40E,Lumix S Pro 70-200mm F4 O.I.S.,Panasonic,Leica L,70,200,4,22,920,S-R70200
39665B65-6012-4DBA-9D1D-9D4380F2A9FF,Lumix G Vario 7-14mm / F4.0 Asph.,Panasonic,MFT,7,14,4,22,250,H-F007014
737BE2C8-B91E-4858-8FFB-0D3B0035C5AB,Lumix G Fisheye 8mm / F3.5,Panasonic,MFT,8,8,3.5,22,100,H-F008
8AFDC115-A6EA-4D03-BFBB-FA9890C27A0D,Leica DG Vario-Summilux 10-25mm / F1.7 Asph.,Panasonic,MFT,10,25,1.7,16,280,H-X1025
9B527D60-2EA5-4D31-BBA9-E1592339F2A0,Leica DG Summilux 12mm / F1.4 Asph.,Panasonic,MFT,12,12,1.4,16,200,H-X012
9B868862-0972-48D3-AFA9-82B180A7652D,Lumix G Vario 12-32mm / F3.5-5.6 Asph. / Mega O.I.S.,Panasonic,MFT,12,32,3.5,22,200,H-FS12032
E968595D-3DDA-4331-9E44-DFC38409FF9B,Lumix G X Vario 12-35mm / F2.8 Asph. / Power O.I.S.,Panasonic,MFT,12,35,2.8,22,250,H-HS12035
15E7FCDB-42F1-4EF8-B870-75ABCB317276,Lumix G X Vario 12-35mm / F2.8 II Asph. / Power O.I.S.,Panasonic,MFT,12,35,2.8,22,250,H-HSA12035
B627763D-EB34-4C27-BF9B-8C2DE4EE8515,Leica DG Vario-Elmarit 12-60mm / F2.8-4.0 Asph. / Power O.I.S.,Panasonic,MFT,12,60,2.8,22,200,H-ES12060
F2C23EA3-4CD3-4C74-B74A-9CC8F2BF4B4B,Lumix G Vario 12-60mm / F3.5-5.6 Asph. / Power O.I.S.,Panasonic,MFT,12,60,3.5,22,200,H-FS12060
78F533C6-049F-40A4-B488-107C175A092F,Lumix G 14mm / F2.5 Asph.,Panasonic,MFT,14,14,2.5,22,180,
A2E50AF8-F706-4D9F-9699-630475E79D4E,Lumix G 14mm / F2.5 II Asph.,Panasonic,MFT,14,14,2.5,22,180,H-H014A
FED18022-3F04-43A6-8908-ED4FACEAD129,Lumix G Vario 14-42mm / F3.5-5.6 II Asph. / Mega O.I.S.,Panasonic,MFT,14,42,3.5,22,200,H-FS1442A
4F05FBA5-532F-4715-9327-C1D4E644255B,Lumix G X Vario PZ 14-42mm / F3.5-5.6 Asph. / Power O.I.S.,Panasonic,MFT,14,42,3.5,22,200,H-PS14042
D610003D-172C-4484-BC10-352634E27BA5,Lumix G Vario 14-45mm / F3.5-5.6 Asph. / Mega O.I.S.,Panasonic,MFT,14,45,3.5,25,300,H-FS014045
7F45230E-2BF7-4EEB-B212-6F732A7FCB1C,Lumix G Vario 14-140mm / F3.5-5.6 Asph. / Power O.I.S.,Panasonic,MFT,14,140,3.5,22,300,H-FS14140
B63093CA-BCC0-4C6D-9007-9584233BBD40,Leica DG Summilux 15mm / F1.7 Asph.,Panasonic,MFT,15,15,1.7,16,200,H-X015
D1ECB7FA-5820-4E6B-8E53-4B7D3A15B6C1,Lumix G 20mm / F1.7 Asph.,Panasonic,MFT,20,20,1.7,16,200,
88B95645-95B8-4FBE-B735-DEA16D1B7E54,Lumix G 20mm / F1.7 II Asph.,Panasonic,MFT,20,20,1.7,16,200,H-H020A
23416DBF-063B-49ED-8A4C-F6481A1F08DA,Leica DG Summilux 25mm / F1.4 Asph.,Panasonic,MFT,25,25,1.4,16,300,H-X025
6D6526A5-B075-4E0E-A23C-EFB672B8F1ED,Leica DG Summilux 25mm / F1.4 II Asph.,Panasonic,MFT,25,25,1.4,16,300,H-XA025
D3E4C47B-D0F3-4817-9E51-73A591AE1F92,Lumix G 25mm / F1.7 Asph.,Panasonic,MFT,25,25,1.7,22,250,H-H025
48B5FA04-AA86-489B-B81D-9597FF2EFF34,Lumix G Macro 30mm / F2.8 Asph. / Mega O.I.S.,Panasonic,MFT,30,30,2.8,22,105,H-HS030
2288E1D7-B3D1-4491-BECD-6807022938F6,Lumix G Vario 35-100mm / F4.0-5.6 Asph. / Mega O.I.S.,Panasonic,MFT,35,100,4,22,900,H-FS35100
727238C9-1E6C-4083-92FE-3507A47B6AC7,Lumix G X Vario 35-100mm / F2.8 / Power O.I.S.,Panasonic,MFT,35,100,2.8,22,850,H-HS35100
11465FD7-E737-4D81-8E9E-EE33FF7A17D9,Lumix G X Vario 35-100mm / F2.8 II / Power O.I.S.,Panasonic,MFT,35,100,2.8,22,850,H-HSA35100
A50F69C4-6A0A-4C58-8037-8742C1DEA70E,Leica DG Nocticron 42.5mm / F1.2 Asph. / Power O.I.S.,Panasonic,MFT,42.5,42.5,1.2,16,500,H-NS043
12C2BB6A-91F9-46B6-B6B3-038936008ED4,Lumix G 42.5mm / F1.7 Asph. / Power O.I.S.,Panasonic,MFT,42.5,42.5,1.7,22,310,H-HS043
435408E2-CEC5-4F70-BD3F-3F6248546747,Leica DG Macro-Elmarit 45mm / F2.8 Asph. / Mega O.I.S.,Panasonic,MFT,45,45,2.8,22,150,H-ES045
